Какое слово означает танец?; Степ
Балет А. Хачатуряна?; Спартак
Бальный танец?; мазурка
Бамбуковый медведь?; панда
Бандит, участник преступной группировки (амер.)?; гангстер
Бандитское приглашение?; сговор
Бани, ставшие известной московской достопримечательностью?; сандуны
Банковская операция?; инкассо
Барон Пампа дон Бау, вращая двуручный меч над головою, поражал воображение. Он описан у ... ?; Стругацких
Басня И. Крылова?; лиса
Басня Крылова?; мешок
Башмаки из дерева?; сабо
Башня Сююмбеки в Казани показалась Т. Шевченко “единоутробной сестрой” ... ?; сухаревской
Рассечение или перерезка стенки пищевода.; эзофаготомия
Бегемот в случае опасности бежит ... ?; в воду
Беглые наброски на полях рукописей?; грифонаж
Беженец, военнопленный?; репатриант
Без ... не вытащить и рыбку из пруда?; труда
Без неё на свадьбе скучно?; драка
Без этого документа вас не примут в поликлинике?; полис
Безапелляционная истина?; догма
Бездеятельность, отсутствие активности, равнодушие?; инертность
Беззаботно-радостное настроение?; веселье
Безлесная равнина?; степь
Безопасный судовой ход, обозначенный бакенами, створными знаками и пр.?; фарватер
Безотчетное побуждение к чему-либо?; инстинкт
Безразличие?; равнодушие
Безудержная смелость?; молодечество
Белеющий в тумане, одинокий?; парус
Белковый гормон животных и человека, который вырабатывается поджелудочной железой. Его недостаток приводит к сахарному диабету?; инсулин
Белое марочное вино?; алиготе
Бело-синий русский народный промысел?; гжель
Белый хлеб продолговатой формы?; батон
Береговая воинская часть флота для приема и размещения прибывающего пополнения?; экипаж
Берестяной короб, лучшая из тар под мед и ягоды?; туес
Беседа журналиста с одним или несколькими лицами по актуальным вопросам?; интервью
Бесенок из сказки Пушкина, разговаривая с Балдой, ... ?; замяукал
Бескостное ползающее животное с вытянутым телом?; червь
Бесплатная приятная неожиданность?; халява
Бесплатный сыр бывает только в мышеловке. Эти слова принадлежат?; Тэтчер
Беспорядок, неразбериха?; хаос
Беспорядок, путаница, неразбериха?; ералаш
Беспрерывное движение?; круговорот
Бессмертную фразу “Пилите, Шура, пилите!” в романе “Золотой теленок” произнес ... ?; Паниковский
Бессмыслица, нелепость?; абсурд
Бессознательное половое влечение?; либидо
Бессознательное состояние, похожее на глубокий сон, вызванное травмой черепа, отравлением?; кома
Бессознательное состояние с расстройством функций всех органов чувств?; кома
Бесспорная истина, принимаемая без доказательств?; аксиома
Бесцветная жидкость (растворитель, заменитель живицы)?; декалин
Бесцветная жидкость, отравляющее вещество нервно-паралитического действия, формула: CH3(C2H5O) P(O) SCH2CH2N[CH(CH3)2]2. Что это за гадость?; ви-газ
Бесцветный или желтоватый твердый продукт, получаемый из некоторых морских водорослей, представляющий собой смесь полисахаринов?; агар-агар
Бечева, на которую рыбак нанизывает пойманную рыбку (разг.)?; кукан
Библейский богатырь?; Самсон
Библиотаф – шутливое название обладателя библиотеки, не позволяющего другим пользоваться ее книгами. Biblio – книга, а как переводится греческое слово tafos?; могила
Бизнесмен, не желающий “светиться”?; теневик
Биологи из Санта-Крус установили, что киты во время охоты вызывают у анчоусов кровоизлияние. Каким образом?; воплем
Битый охотничий трофей?; дичина
Благодаря 20 000 франкам, которые великий итальянец Никколо Паганини подарил французскому композитору Гектору Берлиозу, последний смог спокойно поработать над драматической симфонией “... и Юлия”?; Ромео
Благодаря телевидению изменились правила волейбола. Была введена партия, которая называется ... ?; укороченная
Благозвучное название задней части туши?; стегно
Благоприятные последствия, перевешивающие отрицательные результаты одного и того же дела?; польза
Благоприятный камень по зодиаку для дев?; яшма
Благоухание?; аромат
Блажен, кто смолоду был молод, блажен, кто вовремя созрел! – это из поэмы ... ?; Евгений Онегин
Блаженное состояние души индуса?; нирвана
Бледная соратница “цветущего” мухомора, намного превосходящая его по злокозненности?; поганка
Блестящая парижская куртизанка, послужившая прототипом для героини “Дамы с камелиями” А. Дюма-сына – это Мари ... ?; Дюплесси
Ближайшая к Земле звезда-карлик спектрального класса G2?; Солнце
Ближайший родственник подснежника?; нарцисс
Близкие друзья зовут его “Марти”, а нам он известен под фамилией?; Скорсезе
Блюдо груз. кухни?; шашлык
Блюдо для лордов из куропатки в английской кухне?; граус
Блюдо из риса у народов Средней Азии и Закавказья?; плов
Блюдо из рыбы, оказавшееся “гадостью” в к/ф “Ирония судьбы”?; заливное
Блюститель старых, проверенных порядков, противник перемен и новых веяний?; консерватор
Бобовое растение, из которого делают хотя и невкусное, зато постное масло?; соя
Бог вина и веселья?; Вакх
Бог врачевания в римской мифологии, в ироническом смысле ставший нарицательным прозвищем для любого врача?; Эскулап
Бог египтян, о котором Бездомный, надо полагать, впервые услышал от Берлиоза на Патриарших прудах (“Мастер и Маргарита” М. Булгакова)?; Озирис
Бог плодородия у финикийцев и греков?; Адонис
Богат и славен Кочубей! – утверждал Пушкин в поэме ... ?; Полтава
Богатое здание в древнерусской архитетуре с большим количеством помещений?; палаты
Богатый загородный дом с усадьбой, парком?; вилла
Богиня Луны в греческой мифологии, отождествлявшаяся с Артемидой (иногда изображавшейся с полумесяцем на голове)?; Селена
Богиня мудрости?; Афина
Богиня правосудия в греческой мифологии. Изображалась с повязкой на глазах (символ беспристрастия), с рогом изобилия и весами в руках?; Фемида
Боевая песня польских и русских революционеров конца 19 века?; варшавянка
Боевой корабль?; крейсер
Боевой порядок у казаков?; лава
Боевой корабль в Древней Греции, главным оружием которого был таран?; триера
Боеприпас для стрельбы?; снаряд
Боец изрядный – барабан семизарядный?; наган
Божественный дар, исключительность?; харизма
Бой быков?; коррида
Бойлер?; котел
Болгария (город в Европе)?; Пловдив
Болгарский композитор (оперы “Момчил”, “Антигона-43”). Фамилия чем-то напоминет легендарного Васю Пупкина?; Пипков
Болгарский смычковый инструмент?; гадулка
Болезненное разрастание эпителия слизистой оболочки?; полип
Болезнь, главное проявление которой – уменьшение эритроцитов в крови?; малокровие
Болотная птица?; баклан
Болотное насекомоядное растение?; росянка
Больница, в которой ведутся научные медицинские исследования?; клиника
Больной с признаками физ. или психич. вырождения?; дегенерат
Больным этой болезнью полезно находиться в помещении, специально отделанном солью. Что за болезнь?; астма
Большая всеядная птица, с блестящим черным оперением?; ворон
Большая палатка шамана?; шатер
Большая разница в чём-либо, резкая противоположность?; контраст
Большая-пребольшая палка?; дубина
Большинство женщин пользуются и съедают. Мужчины не пользуются, но тоже съедают – до 15 кг за жизнь?; помада
Большое зеркало?; трюмо
Большое и чистое, но не слон после бани :) ?; чувство
Большое количество чего-либо, большой запас (часто применительно к боеприпасам)?; арсенал
Большое соединение кораблей, танков, самолетов?; армада
Большое количество кораблей?; армада
Большой круг небесной сферы, по которому происходит видимое годичное движение Солнца?; эклиптика
Большой ларец для хранения святых мощей называется?; рака
Большой мастер своего дела?; специалист
Большой праздник в честь какого-либо события?; торжество
Большой сад?; парк
Большой стог сена?; скирд
Большущая камбала?; палтус
Борис Пильняк написал о судьбе Фрунзе “Повесть непогашенной ...”?; луны
Бородатый армейский анекдот: – Лейтенант, снаряды закончились. – Что, все? – Так точно. Какую команду дал лейтенант?; прекратить огонь
Борцы сумо носят длинные волосы, чтобы амортизировать ... ?; удар головой
Бочка с женой и сыном царя Салтана поплыла на ... ?; запад
Бочковый древнегреческий философ, чем и прославился?; Диоген
Бочоночная игра?; лото
Браз. футболист?; Зико
Бразилец, самый “дорогой” на сегодня футболист планеты?; Роналдо
Брат краткости?; талант
Брата Иванушки Петровича из сказки “Конек-горбунок” звали ... ?; Гаврила
Бремя белого человека – автор?; Киплинг
Бремя, тяжесть, ноша (в прямом и перен. смыслах, устар.)?; беремя
Британскую королеву Елизавету I, сорок лет сидевшую на троне, враги называли рыжей ... ?; кошкой
Бродячий комедиант в Древней Руси?; скоморох
Бросок в борьбе с захватом руки и ноги?; мельница
Брус для носовых парусов на судне?; бушприт
Брус по контуру носового заострения судна?; форштевень
Брус, опирающийся на стены в нескольких точках?; балка
Брусок поперечно разрезанного бревна?; шашка
Брюки “без роду, без племени”?; портки
Брюшной?; тиф
Будущий корифей кино в 1943 г., он, начинающий карикатурист, написал серию передач для Римского радио. Кто он?; Феллини
Будущий российский ученый А. Шахматов был знаменит тем что написал две книги уже в ... лет?; десять
Будущую звезду футбола Эйсебио привезли в Португалию из саванны ... ?; Мозамбика
Буйный повод, за который вещий Олег обрек хазарские “селы и нивы” мечам и пожарам?; набег
Бук – это ... ?; дерево
Буква греческого алфавита?; тау
Буква кириллицы?; ер
Буква, с которой принято сравнивать ход шахматного коня?; г
Букет на вечную память?; венок
Бульвар, кинопрогулка по которому с Аллой Суриковой стала последней для Андрея Миронова?; Капуцинов
Бумага, посылающая вас “куда подальше”, куда вы с радостью идете?; путевка
Бумажные деньги, облигация, акция или др. ценная бумага с обозначенной стоимостью?; купюра
Бумажный мусор, в избытке достающийся уборщице, приходящей на новогодний карнавал после его окончания?; конфетти
Бумажный склад истории?; архив
Бура – это на самом деле ... ?; тетраборат натрия
Буржуйское курево?; сигара
Бурильный молоток?; перфоратор
Бывает настенным, карманным, перекидным?; календарь
Бывалый герой нескольких кинокомедий?; Моргунов
Бывают ли трубчатые подшипники?; нет
Бывшая германская земля?; Пруссия
Бывший “цыпленок табака”, впавший временно в “золотую лихорадку”?; Ярмольник
Бывшим президентом какого государства является председатель комиссии по правам человека Мэри Робинсон?; Ирландия
Бык из Беловежской Пущи?; зубр
Был брак в Кане Галилейской, и Матерь Иисуса была там... Здесь Христос сотворил первое свое чудо – претворил ... ?; воду в вино
Был по сведениям римлян у варваров город Лютеция. Ныне это ... ?; Париж
Быстрый итал. народный танец?; тарантелла
Быстрый темп в музыке?; аллегро
Быстрый аллюр, при котором лошадь идёт вскачь?; галоп
Бытовое название морских чудищ со щупальцами – крупных осьминогов и гигантских кальмаров?; спрут
Бытовое название свидетельства о рождении?; метрика
Бытовой портретист, путающий “право” и “лево”?; зеркало
Бытовой электрический прибор?; утюг
Бытовой электроприбор?; магнитола
Бюджет этого фильма составил 200 млн. долларов, но в кинопрокате он собрал в 10 раз больше денег, как название сего шедевра?; Титаник
Бюрократический метод управления посредством командования?; администрирование
В одном из отечественных словарей это слово было истолковано так: “разбойники во Франции, которые жгли подошвы попавшимся им, чтобы дознаться, где у последних спрятаны деньги”. Это ... ?; шоферы
В ... повергают того, кого уничтожают физически или морально (о чем речь?)?; прах
В 14 лет он стал чемпионом США, а в 29 – чемпионом мира. И исчез со спортивного небосклона. Вид спорта?; шахматы
В 1488 г. Португалец Бартоломеу Диаш в поисках морского пути в Индию первым из европейцев обогнул Африку с юга и открыл мыс ... ?; Доброй Надежды
В 1491 г. в Москве возник пожар от свечки перед ... ?; иконой
В 1497 г. итальянец на английской службе Джон (Джованни) Кабот достиг берегов Северной Америки на 14 месяцев раньше Колумба в районе острова, который и был назван просто ... ?; Ньюфаундленд
В 1497–1499 гг. этот португалец совершил плавание из Лиссабона в Индию, обогнув Африку, и обратно, впервые проложив путь из Европы в Южную Азию. Кто он?; Васко да Гама
В 1502 г. португальцы под командованием Васко да Гама открыли около Африки остров ... ?; Святой Елены
В 1503 г. португальцы открыли в Индийском океане ... острова?; Сейшельские
В 1519 г. испанцы под командованием Алонсо де Пинеда исследовали побережье Мексиканского побережья и открыли устье реки ... ?; Миссисипи
В 1519–1521 гг. испанцы под командованием Эрнана Кортеса завоевали эту страну, где потом и укоренился испанский язык. Это была ... ?; Мексика
В 1671 году ему вынесли смертный приговор за “многие вины”, в том числе за “прелестные письма”. Кто же это?; Степан разин
В 1826 году английский химик Джон Уокер размешивал палочкой в ступке смесь, содержавшую поташ и мышьяк, и вдруг уронил палочку на каменный пол. Чем Уокер начал торговать в 1827 году?; спичками
В 1830 году в очном соревновании в США Том-С-Пальчик проиграл на дистанции 9 миль безымянной лошади. Тем не менее, общая победа осталась за потомками Тома. Кто они?; паровозы
В 1836 г. Берлиоз сделал обработку одного музыкального произведения для двух хоров и оркестра и “всех, у кого есть голос, сердце и кровь в жилах”, как гласит надпись в его рукописной партитуре. Что это за произведение?; марсельеза
В 1893 году этот королевский дворец был открыт для публики и назван “французским музеем”?; Лувр
В 1897 году биллем штата Индиана значение числа “Пи” было утверждено равным ... ?; 4
В 1905 году в ЮАР на руднике “Премьер” был найден самый крупный в мире алмаз весом 3025 карат, или чуть больше 600 г. Как был назван этот алмаз?; куллинан
В 1916 году он написал стихотворение, которое называлось “Себе, любимому, посвящает эти строки автор.” Кто этот самолюбимый автор?; Маяковский
В 1922 году он получил от правительства звание “Неустрашимый герой Монгольского Народного государства”?; Сухэ-Батор
В 1933 году мороз здесь достиг -72 С. Это место считается самым холодным в Северном полушарии?; Оймякон
В 1984 году Анжела Дэвис стала вице-президентом этой организации в США. Какой?; компартии
В 1984 году в США, памятуя о нападении Японии на США 7 декарбя 1944 г., нашествие японских товаров на американский рынок называли экономическим... Чем же?; Перл-Харбором
В 1990 году группа “Моральный кодекс” записала свой дебютный альбом. Он назывался ... ?; сотрясение мозга
В 20-х годах в Чикаго его полушутя-полусерьезно называли традиционным чикагским пальто. Что это?; гроб
В 60 лет этот мыслитель и поэт, автор слов гимна Народной Республики Бангладеш, начал писать картины, посвятив живописи оставшиеся 20 лет жизни. Его звали ... ?; Рабиндранат Тагор
В 70-х годах 20-го века ученым-кинологам удалось получить помесь волка и собаки, способную к воспроизведению потомства. Эту помесь назвали ... ?; Ницше
В cтиxe – клayзула, в стихотвоpном произвeдeнии – кодa, а в бaсне – это ... ?; мораль
В XVI веке чай на Руси продавался как средство от ... ?; меланхолии
В XVIII веке российские девушки красили зубы в черный цвет, чтоб показать, что они богаты и могут покупать и есть много ... ?; сахара
В Австрии – 20, в Эстонии – 18, на Украине – 16, в Швеции – 15, а в Израиле – 13. Что это?; возраст совершеннолетия
В Америке этого животного нет, но на гербе Христофора Колумба утвердился именно он – ... ?; лев
В анатомии – туловище человека; скульптурное изображение человеческого туловища?; торс
В Англии до 1824 года они официально считались проходимцами и бродягами?; актеры
В Анголе – 11 ноября, в Кабо-Верде – 5 июля, а в США – ... ?; 4 июля
В античной архитектуре ступенчатое основание храма или колоннады?; стереобат
В археологии – комплекс погребений; справочное издание в Росс. империи (19–20 вв.)?; некрополь
В ацтекской мифологии имя главного бога Кетсалькоатля буквально означает ... ?; пернатый змей
В балете “Парад” Эрик Сати применил в качестве музыкальных инструментов не только пишущую машинку, но и ... ?; автомобильный клаксон
В буддийских мифах один из двух главных учеников Шакьямуни?; Шарипутра
В буддийской мифологии Китая один из популярных святых?; Вэньшу
В буквальном переводе с латыни это слово означает “сидящий впереди”. Это ... ?; президент
В былые времена мощный механизм на вооружении самиздатовского прогресса?; ксерокс
В Великобритании существует этот древнейший орден – орден св. Андрея. А другое его название – орден ... ?; чертополоха
В ветхозаветном повествовании – второй сын Адама и Евы, “пастырь овец”, убитый старшим братом Каиным из зависти. В новом завете – первый мученик, первый гонимый праведник. С него начинается ряд невинно убитых – ... ?; Авель
В ветхозаветных преданиях герой-воитель?; Гедеон
В воде родится, а воды боится. Что это?; соль
В военной терминологии – передовой пост, передовая позиция?; форпост
В войне за независимость США главнокомандующим английскими войсками был ... ?; Клинтон
В Вологде разбирающаяся кровать называется ... ?; раскладушка
В вычислительной технике элемент данных, над которыми выполняется операция?; операнд
В гербе СССР с молотом перекрещивается ... ?; серп
В Германии – вахтмайстер, во Франции – ажан, в США – офицер, а в Англии – ... ?; констебль
В гимнастике, фигурном катании: упражнение, при котором одна нога высоко отведена назад, туловище вытянуто вперед, а руки разведены в стороны?; ласточка
В Госyдаpственной Дyме фpакции “Hаш Дом – Россия” и “Медведь” решили объединиться под названием “Hаш Дом – ... ”?; берлога
В греко-римском мире ее называли “та, у которой тысяча имен”. Как богиня неба изображалась в виде коровы или женщины с коровьими рогами на голове?; Исида
В греч. мифологии сын Кроноса?; Зевс
В греч. миф. сын Амикла и правнук Зевса?; Гиакинф
В греч. миф. сын Эвадны и Аполлона, прародитель прорицателей?; Иам
В греческих легендах разбойник, клавший своих гостей на заведомо короткое ложе, чтобы отрубить им выпиравшие ноги?; Прокруст
В греческой мифологии – искусный зодчий, построивший на острове Крит лабиринт?; Дедал
В греческой мифологии – сын Посейдона и богини земли Геи, побежденный Гераклом?; Антей
В греческой мифологии – титан, брат Прометея, отличавшийся мощной силой. Поддерживал небесный свод?; атлант
В греческой мифологии бог сновидений, сын бога сна Гипноса?; Морфей
В греческой мифологии дочь Салмонея, мать Пелия и Нелея?; Тиро
В греческой мифологии муза, покровительница истории?; Клио
В греческой мифологии – пища и благотворное умащение олимпийских богов. Поддерживает их бессмертие (как и нектар)?; амброзия
В греческой мифологии скала в Элевсине (Аттика)?; Агеласт
В греческом алфавите 24 буквы. А какая находится между дзетой и тетой?; эта
В девичестве эту знаменитую женщину звали Диана Спенсер. Каково общеизвестное ее имя?; Виндзор
В девичестве эту знаменитую женщину звали Надежна Аллилуева. Каково общеизвестное ее имя?; Джугашвили
В дореволюционной России так называли земское войско, несущее местную службу?; милиция
В др. Руси: название византийцев?; ромеи
В Др. Греции: метка на теле преступника?; стигма
В др.-инд. миф. дайтья, выкравший из уст Брахмы 4 веды?; Хаягрива
В драке она может лететь клочьями?; шерсть
В древнегреческой мифологии – бог, покровитель пастухов?; Пан
В древнегреческой мифологии – гигант, вступивший в борьбу с богами?; титан
В древнегреческой мифологии – напиток богов, дававший бессмертие?; нектар
В древнегреческой мифологии – царь г. Фив, сумевший разгадать три загадки сфинкса?; Эдип
В древнегреческой мифологии: опустошавшее страну огнедышащее трехголовое чудовище, полулев-полукоза с хвостом-змеей?; химера
В Древней Греции – жрица Вакха?; менада
В Древней Индии таких людей считали “полностью равными по вине убийцам браминов”. А что ели эти гурманы?; грибы
В Древнем Египте их первыми спасали из огня, а в средневековой Европе – первыми бросали в огонь. Это ... ?; кошки
В Древнем Египте эта обезьяна считалась священным животным?; гамадрил
В древнем Китае испытуемому предлагалось в темной комнате дернуть священного ишака за хвост, осыпанный золой, а затем показать свои руки. Какое устройство используется в подобных случаях сейчас?; детектор лжи
В Древнем Риме – верховный орган власти?; сенат
В древнем Риме говорили: “De gustibus non disputandum” (де густибус нон диспутандум), а мы говорим: “О ... не спорят”?; вкусах
В Древнем Риме титул императоров?; Цезарь
В Древнем Риме этот месяц календаря был десятым?; декабрь
В Древности Канарские острова (вероятно из-за хорошего климата) назывались Инсула фортуна, что значит ... ?; счастливые острова
В его бумагах были найдены чертежи прообразов парашюта и геликоптера?; Леонардо да Винчи
В западноевропейских легендах сосуд с кровью И. Христа?; грааль
В Западной Европе такие записи назывались анналами, а как на Руси? (ед. ч.); летопись
В записи шахматной партии один плюс обозначает шах, а два плюса подряд обозначают ... ?; двойной шах
В зоологии – то же, что терка?; радула
В известной песне группы Scorpions “Wind of Change” солист как бы идет по ... ?; парку Горького
В изобразительном искусстве произведение, исполняемое художником с натуры с целью ее изучения?; этюд
В Израиле – кнессет, в Исландии – альтинг, в Непале – панчаят, а в Иране – ... ?; меджлис
В изучении чего должен помочь школьникам “как-то однажды Жак-звонарь, городской сломавший фонарь”?; спектр
В Индии последователи одной из религий добавляют к своим именам слово “Лев” (имя – “синг”, что значит на языке хинди – лев). Название религии?; сикхизм
В Интернете бытует убеждение, что “Провайдер не всегда прав, но он всегда ...” – что?; провайдер
В истории древнего Рима – союз трех лидеров, захватывавший власть (Цезарь, Помпей и Красс, затем Октавиан Август, М. Антоний и М. Лепид)?; триумвират
В иудаизме, христианстве и исламе личность, наделенная даром восприятия Божественного послания и способностью сообщить его людям?; пророк
В иудаизме: субботний отдых?; шабаш
В их честь была названа читинская улица со странным названием Дамская. В честь кого?; жен декабристов
В какие “вечные ценности” вкладывала капитал жена главного героя “Сказки о рыбаке и рыбке”?; жемчуг
В какое время года познакомились Евгений и Надежда из фильма “Ирония судьбы или С легким паром”?; зимой
В какое время года тени короче?; летом
В какой войне погибло наибольшее количество американцев?; гражданской
В какой город не принято ездить со своим самоваром?; Тула
В какой европейской стране самые большие снежные поля?; Норвегия
В какой игре победитель может полагаться только на удачу?; лотерея
В какой московской гостинице 25 февраля 1977 года произошел крупный пожар (в тушении участвовало около 1400 пожарных на 143 машинах, погибли 42 человека, в том числе 13 пожарных)?; Россия
В какой обуви Лелик хотел видеть Гешу (“Бриллиантовая рука”)? (ответ в им. п.); белые тапки
В какой одежде приходил на службу Шелленберг?; штатский костюм
В какой повести Гоголя встречается объявление о продаже “молодой горячей лошади семнадцати лет от роду”?; нос
В какой стране возникла рэп-музыка?; США
В какой стране вы находитесь, если вы “woo” на диалекте Wu?; Китай
В какой стране живут кхмеры?; Камбоджа
В какой стране зародилось родео?; Мексика
Сочинитель, певец псальмов.; псальмопевец
В какой стране находится второй из самых высоких действующих вулканов с забавным названием Попокатепетль (5452 м)?; Мексика
В какой стране находится гора Эверест?; Непал
В какой стране находится город Семипалатинск?; Казахстан
В какой стране находятся две великие реки – Тигр и Евфрат?; Ирак
В какой стране находятся четыре из семи самых высоких водопадов мира?; Норвегия
В какой стране обитает кенгуру?; Австралия
В какой стране отрыжка считается благодарностью хозяевам за угощение?; Индия
В какой стране по данным “СПИД-Инфо” заразился “СПИДом” первый советский гражданин?; Танзания
В какой стране производится пиво Peroni?; Италия
В какой стране проходила Зимняя Олимпиада 1998 года?; Япония
В какой стране разворачивались события в кабачке “13 стульев”?; Польша
В какой стране родился философ Жан-Жак Руссо?; Швейцария
В какой стране самое сильнейшее из известных землетрясение 1556 г. унесло жизни 800 000 человек?; Китай
В какой стране форма такси такова, что в салоне можно не снимать цилиндр?; Англия
В какой цвет выкрашен “черный ящик”?; оранжевый
В какой части дерева происходит процесс фотосинтеза? “в ...”; листьях
В каком (одном-единственном) из Соединенных штатов добывают алмазы?; Арканзас
В каком американском фильме, очень популярном у нас в застойные годы, главной героине предстоял выбор между одноглазым и одноруким?; викинги
В каком американском штате находится Большой Каньон?; Аризона
В каком виде спорта выступают самые тяжелые спортсмены?; сумо
В каком виде спорта прославилась Курникова?; теннис
В каком виде спорта прославился Е. Кафельников?; теннис
В каком виде спорта соревновались герои мультфильма “Необыкновенный матч”?; футбол
В каком водоеме, случается, водятся черти? “B ...”; омуте
В каком году “Битлз” впервые появились живьем на американском телевидении в передаче “Шоу Эда Салливана” (их выступление наблюдали 73,7 миллиона телезрителей)?; 1964
В каком году Microsoft объявила о своих планах создания графической оболочки Windows 1.0, обеспечивающей пользователям мультизадачный режим?; 1983
В каком году был выпущен в продажу первый лазерный компакт-диск?; 1982
В каком году было отправлено первое факсимильное сообщение (это была фотография короля Эдуарда присланная из Парижа и помещeнная в лондонскую газету “Дейли миррор”)?; 1907
